Datum/Uhrzeit;09.12.2024/20:03:35
Depot;461 481278000
Ausschüttungen einbeziehen;ja
Depotwert (inkl. Stückzinsen) in EUR;213.979,22 ;
Depoteinstandswert in EUR;136.057,71 ;
Veränderung in %;+59,61
Veränderung in EUR;+81.097,32
davon Ausschüttungen in EUR;3.175,81 
Anzahl der Positionen;11

Position;Bezeichnung;WKN;ISIN;Notierung;Fälligkeit;Bestand;Einstandskurs;Einstandskurs Währung;Deviseneinstandskurs;Einstandswert in EUR;Datum letzter Umsatz;akt. Kurs;akt. Kurs Währung;Datum akt. Kurs;Uhrzeit akt. Kurs;Börse akt. Kurs;akt. Devisenkurs;Wert in EUR;Stückzinsen in EUR;Ausschüttungen in EUR;Veränderung in EUR;Veränderung in %;Votum;Anteil im Depot;Stückeart;Stückeart Bezeichnung;Verwahrart;Verwahrart Bezeichnung;Sperre
1;ALLIANZ SE NA O.N.;840400;DE0008404005;STK;;174;242,1;EUR;1;42.125,4;04.12.2024;298,6;EUR;09.12.2024;17:43:27;Xetra;1.00000;51.956,40;;2.609,40;+12.440,40;+29,53;Starker Kauf;24,28;"";;"004";GIROSAMMELDEPOT;;
2;ASML HOLDING    EO -,09;A1J4U4;NL0010273215;STK;;5;570,43;EUR;1;2.852,15;01.11.2022;676,7;EUR;09.12.2024;20:03:03;Tradegate;1.00000;3.383,50;;81,59;+612,94;+21,49;Starker Kauf;1,58;"";;"004";GIROSAMMELDEPOT;;
3;ADVANCED MIC.DEV.  DL-,01;863186;US0079031078;STK;;11;50,74;EUR;1;558,14;09.06.2020;125,3;EUR;09.12.2024;17:35:34;Xetra;1.00000;1.378,30;;;+820,16;+146,95;;0,64;"";;"004";GIROSAMMELDEPOT;;
4;ALPHABET INC.CL C DL-,001;A14Y6H;US02079K1079;STK;;72;83,84;EUR;1;6.036,48;03.07.2023;168,02;EUR;09.12.2024;20:01:56;Tradegate;1.00000;12.097,44;;26,32;+6.087,28;+100,84;Starker Kauf;5,65;"";;"004";GIROSAMMELDEPOT;;
5;BERKSH. H.B NEW DL-,00333;A0YJQ2;US0846707026;STK;;186;257,71;EUR;1;47.934,06;03.10.2024;440,25;EUR;09.12.2024;20:02:26;Tradegate;1.00000;81.886,50;;;+33.952,44;+70,83;Kauf;38,27;"";;"004";GIROSAMMELDEPOT;;
6;CROWDSTRIKE HLD. DL-,0005;A2PK2R;US22788C1053;STK;;20;185,54;EUR;1;3.710,8;04.12.2023;336,2;EUR;09.12.2024;19:52:34;Tradegate;1.00000;6.724,00;;;+3.013,20;+81,20;;3,14;"";;"700";USA/KANADA (AKV);;
7;MICROSOFT    DL-,00000625;870747;US5949181045;STK;;45;221,92;EUR;1;9.986,4;27.04.2023;422,3;EUR;09.12.2024;20:03:23;Tradegate;1.00000;19.003,50;;331,07;+9.348,17;+93,61;Starker Kauf;8,88;"";;"004";GIROSAMMELDEPOT;;
8;NUTANIX INC. A;A2ACQE;US67059N1081;STK;;76;52,91;EUR;1;4.021,16;30.01.2024;62,96;EUR;09.12.2024;17:17:16;Tradegate;1.00000;4.784,96;;;+763,80;+18,99;;2,24;"";;"700";USA/KANADA (AKV);;
9;NVIDIA CORP.      DL-,001;918422;US67066G1040;STK;;174;86,93;EUR;1;15.125,82;01.07.2024;134,88;EUR;06.12.2024;21:59:15;Tradegate;1.00000;23.469,12;;2,78;+8.346,08;+55,18;Kauf;10,97;"";;"004";GIROSAMMELDEPOT;;
10;TAIWAN SEMICON.MANU.ADR/5;909800;US8740391003;STK;;20;105,85;EUR;1;2.117;01.04.2021;190,8;EUR;09.12.2024;20:02:14;Tradegate;1.00000;3.816,00;;124,65;+1.823,65;+86,14;;1,78;"";;"700";USA/KANADA (AKV);;
11;TESLA INC. DL -,001;A1CX3T;US88160R1014;STK;;15;106,02;EUR;1;1.590,3;28.12.2022;365,3;EUR;09.12.2024;20:03:27;Tradegate;1.00000;5.479,50;;;+3.889,20;+244,56;Verkauf;2,56;"";;"004";GIROSAMMELDEPOT;;


Diese Aufstellung ist keine Depotabstimmung. Die Angaben basieren regelmäßig auf zuletzt veröffentlichten Marktdaten oder auf einer Bewertung durch die Bank und sind indikativ. Wir bitten um Verständnis, dass wir für die Kurs- und Wertangaben kein Obligo übernehmen. Insbesondere ist damit keine Gewähr verbunden, dass eine ausreichende Nachfrage besteht und die Wertpapiere oder sonstigen Vermögenswerte tatsächlich zu den angegebenen Preisen verkauft werden können. Dies hängt von den jeweils aktuellen Marktverhältnissen ab.

Die Voten geben die jeweilige Einschätzung der Bank wieder. Sie dienen zu Informationszwecken, können aber eine individuelle Beratung nicht ersetzen. Es handelt sich dabei nicht um ein Angebot zum Kauf oder Verkauf der jeweiligen Wertpapiere oder Finanzinstrumente.

Aufgrund von Rundungen sind Abweichungen möglich.

Bei den ausgewiesenen Einstandskursen handelt es sich nicht um die steuerlichen Anschaffungskosten.
